year_ceremony,category,name,film,winner
1928,ACTOR,Richard Barthelmess,The Noose,FALSE
1928,ACTOR,Emil Jannings,The Last Command,TRUE
1928,ACTRESS,Louise Dresser,A Ship Comes In,FALSE
1928,ACTRESS,Janet Gaynor,7th Heaven,TRUE
1928,ACTRESS,Gloria Swanson,Sadie Thompson,FALSE
1928,ART DIRECTION,Rochus Gliese,Sunrise,FALSE
1928,ART DIRECTION,William Cameron Menzies,The Dove;,TRUE
1928,ART DIRECTION,Harry Oliver,7th Heaven,FALSE
1928,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,FALSE
1928,CINEMATOGRAPHY,Charles Rosher,Sunrise,TRUE
1928,CINEMATOGRAPHY,Karl Struss,Sunrise,TRUE
1928,DIRECTING,Lewis Milestone,Two Arabian Knights,TRUE
1928,DIRECTING,Ted Wilde,Speedy,FALSE
1928,DIRECTING,Frank Borzage,7th Heaven,TRUE
1928,DIRECTING,Herbert Brenon,Sorrell and Son,FALSE
1928,DIRECTING,King Vidor,The Crowd,FALSE
1928,ENGINEERING EFFECTS,Ralph Hammeras,,FALSE
1928,ENGINEERING EFFECTS,Roy Pomeroy,Wings,TRUE
1928,ENGINEERING EFFECTS,Nugent Slaughter,,FALSE
1928,OUTSTANDING PICTURE,The Caddo Company,The Racket,FALSE
1928,OUTSTANDING PICTURE,Fox,7th Heaven,FALSE
1928,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,TRUE
1928,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,TRUE
1928,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,FALSE
1928,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,FALSE
1928,WRITING,Alfred Cohn,The Jazz Singer,FALSE
1928,WRITING,Anthony Coldeway,Glorious Betsy,FALSE
1928,WRITING,Benjamin Glazer,7th Heaven,TRUE
1928,WRITING,Lajos Biro,The Last Command,FALSE
1928,WRITING,Ben Hecht,Underworld,TRUE
1928,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,FALSE
1928,WRITING (Title Writing),Joseph Farnham,,TRUE
1928,WRITING (Title Writing),"George Marion, Jr.",,FALSE
1928,SPECIAL AWARD, Warner Bros.,,TRUE
1928,SPECIAL AWARD, Charles Chaplin,,TRUE
1929,ACTOR,George Bancroft,Thunderbolt,FALSE
1929,ACTOR,Warner Baxter,In Old Arizona,TRUE
1929,ACTOR,Chester Morris,Alibi,FALSE
1929,ACTOR,Paul Muni,The Valiant,FALSE
1929,ACTOR,Lewis Stone,The Patriot,FALSE
1929,ACTRESS,Ruth Chatterton,Madame X,FALSE
1929,ACTRESS,Betty Compson,The Barker,FALSE
1929,ACTRESS,Jeanne Eagels,The Letter,FALSE
1929,ACTRESS,Corinne Griffith,The Divine Lady,FALSE
1929,ACTRESS,Bessie Love,The Broadway Melody,FALSE
1929,ACTRESS,Mary Pickford,Coquette,TRUE
1929,ART DIRECTION,Hans Dreier,The Patriot,FALSE
1929,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,TRUE
1929,ART DIRECTION,Mitchell Leisen,Dynamite,FALSE
1929,ART DIRECTION,William Cameron Menzies,Alibi;,FALSE
1929,ART DIRECTION,Harry Oliver,Street Angel,FALSE
1929,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,FALSE
1929,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,TRUE
1929,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,FALSE
1929,CINEMATOGRAPHY,Ernest Palmer,Four Devils;,FALSE
1929,CINEMATOGRAPHY,John Seitz,The Divine Lady,FALSE
1929,DIRECTING,Lionel Barrymore,Madame X,FALSE
1929,DIRECTING,Harry Beaumont,The Broadway Melody,FALSE
1929,DIRECTING,Irving Cummings,In Old Arizona,FALSE
1929,DIRECTING,Frank Lloyd,The Divine Lady,TRUE
1929,DIRECTING,Frank Lloyd,Drag;,FALSE
1929,DIRECTING,Ernst Lubitsch,The Patriot,FALSE
1929,OUTSTANDING PICTURE,Feature Productions,Alibi,FALSE
1929,OUTSTANDING PICTURE,Fox,In Old Arizona,FALSE
1929,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,TRUE
1929,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,FALSE
