Source,Target,Weight
7th Heaven,A Star Is Born,1
7th Heaven,Bad Girl,1
A Star Is Born,The Royal Family of Broadway,1
A Star Is Born,Dr. Jekyll and Mr. Hyde,1
A Star Is Born,The Best Years of Our Lives,1
A Star Is Born,Death of a Salesman,1
A Star Is Born,The High and the Mighty,1
A Star Is Born,Georgy Girl,1
A Star Is Born,The Verdict,1
A Star Is Born,Judgment at Nuremberg,1
A Star Is Born,Silver Linings Playbook,1
A Star Is Born,American Hustle,1
A Star Is Born,American Sniper,1
Sadie Thompson,Sunset Blvd.,1
Sunset Blvd.,The Trespasser,1
Sunset Blvd.,Double Indemnity,1
Sunset Blvd.,The Lost Weekend,1
Sunset Blvd.,Stalag 17,3
Sunset Blvd.,Network,1
Sunset Blvd.,Sabrina,1
Sunset Blvd.,Witness for the Prosecution,1
Sunset Blvd.,Some Like It Hot,1
Sunset Blvd.,The Apartment,1
Two Arabian Knights,The Front Page,1
The Front Page,All Quiet on the Western Front,1
The Crowd,The Champ,1
The Crowd,The Citadel,1
The Champ,The Big House,1
The Champ,Hallelujah,1
The Champ,The Citadel,1
The Champ,War and Peace,1
The Citadel,Hallelujah,1
The Citadel,Goodbye Mr. Chips,1
The Citadel,War and Peace,1
The Valiant,The Life of Emile Zola,1
The Life of Emile Zola,I Am a Fugitive from a Chain Gang,1
The Life of Emile Zola,Black Fury,1
The Life of Emile Zola,The Story of Louis Pasteur,1
The Life of Emile Zola,The Last Angry Man,1
The Patriot,The Love Parade,1
The Patriot,Heaven Can Wait,1
The Love Parade,Heaven Can Wait,1
Heaven Can Wait,Bonnie and Clyde,1
Heaven Can Wait,Reds,2
Heaven Can Wait,Bugsy,1
Heaven Can Wait,Shampoo,1
Heaven Can Wait,Bob & Carol & Ted & Alice,1
Madame X,Sarah and Son,1
Madame X,A Free Soul,1
A Free Soul,The Divorcee,1
A Free Soul,Their Own Desire,1
A Free Soul,Anna Christie;,1
A Free Soul,The Barretts of Wimpole Street,1
A Free Soul,Romeo and Juliet,1
A Free Soul,Marie Antoinette,1
A Free Soul,The Human Comedy,1
A Free Soul,National Velvet,1
A Free Soul,The Yearling,1
The Letter,Of Human Bondage,1
The Letter,Dangerous,1
The Letter,Jezebel,1
The Letter,Dark Victory,1
The Letter,The Little Foxes,3
The Letter,Now Voyager,1
The Letter,Mr. Skeffington,1
The Letter,All about Eve,1
The Letter,The Star,1
The Letter,What Ever Happened to Baby Jane?,1
The Letter,Dodsworth,1
The Letter,Wuthering Heights,1
The Letter,Mrs. Miniver,1
The Letter,The Best Years of Our Lives,1
The Letter,The Heiress,1
The Letter,Detective Story,1
The Letter,Roman Holiday,1
The Letter,Friendly Persuasion,1
The Letter,Ben-Hur,1
The Letter,The Collector,1
Of Human Bondage,Jezebel,1
Of Human Bondage,The Little Foxes,1
Of Human Bondage,Now Voyager,1
Of Human Bondage,Mr. Skeffington,1
Of Human Bondage,All about Eve,1
Of Human Bondage,What Ever Happened to Baby Jane?,1
Dangerous,Jezebel,1
Dangerous,The Little Foxes,1
Dangerous,Now Voyager,1
Dangerous,Mr. Skeffington,1
Dangerous,All about Eve,1
Dangerous,What Ever Happened to Baby Jane?,1
Jezebel,White Banners,1
Jezebel,Dark Victory,1
Jezebel,The Little Foxes,1
Jezebel,Now Voyager,1
Jezebel,Mr. Skeffington,1
Jezebel,All about Eve,1
Jezebel,The Star,1
Jezebel,What Ever Happened to Baby Jane?,1
Jezebel,The Children's Hour,1
Dark Victory,The Little Foxes,1
Dark Victory,Now Voyager,1
