Source,Target,Weight
Janet Gaynor,Frank Borzage,1
Janet Gaynor,Fredric March,1
Janet Gaynor,William Wellman,1
Janet Gaynor,James Mason,1
Janet Gaynor,Judy Garland,1
Janet Gaynor,Bradley Cooper,1
Janet Gaynor,Sam Elliott,1
Janet Gaynor,Lady Gaga,1
Fredric March,William Wellman,1
Fredric March,James Mason,1
Fredric March,Judy Garland,1
Fredric March,Bradley Cooper,1
Fredric March,Sam Elliott,1
Fredric March,Lady Gaga,1
Fredric March,William Wyler,1
Fredric March,Harold Russell,1
Fredric March,Kevin McCarthy,1
Fredric March,Mildred Dunnock,1
William Wellman,Claire Trevor,1
William Wellman,James Mason,1
William Wellman,Judy Garland,1
William Wellman,Bradley Cooper,1
William Wellman,Sam Elliott,1
William Wellman,Lady Gaga,1
William Wellman,Jan Sterling,1
James Mason,Judy Garland,1
James Mason,Bradley Cooper,1
James Mason,Sam Elliott,1
James Mason,Lady Gaga,1
James Mason,Lynn Redgrave,1
James Mason,Sidney Lumet,1
James Mason,Paul Newman,1
Judy Garland,Spencer Tracy,1
Judy Garland,Montgomery Clift,1
Judy Garland,Bradley Cooper,1
Judy Garland,Sam Elliott,1
Judy Garland,Lady Gaga,1
Judy Garland,Stanley Kramer,1
Judy Garland,Maximilian Schell,1
Bradley Cooper,Robert De Niro,1
Bradley Cooper,Amy Adams,1
Bradley Cooper,Christian Bale,1
Bradley Cooper,Jennifer Lawrence,3
Bradley Cooper,Jacki Weaver,1
Bradley Cooper,David O. Russell,3
Bradley Cooper,Sam Elliott,1
Bradley Cooper,Lady Gaga,1
Gloria Swanson,Billy Wilder,1
Gloria Swanson,William Holden,1
Gloria Swanson,Erich von Stroheim,1
Gloria Swanson,Nancy Olson,1
Billy Wilder,Charles Laughton,1
Billy Wilder,Barbara Stanwyck,1
Billy Wilder,Ray Milland,1
Billy Wilder,William Holden,3
Billy Wilder,Erich von Stroheim,1
Billy Wilder,Nancy Olson,1
Billy Wilder,Robert Strauss,1
Billy Wilder,Audrey Hepburn,1
Billy Wilder,Elsa Lanchester,1
Billy Wilder,Jack Lemmon,3
Billy Wilder,Shirley MacLaine,1
Billy Wilder,Jack Kruschen,1
William Holden,Erich von Stroheim,1
William Holden,Nancy Olson,1
William Holden,Robert Strauss,1
William Holden,Sidney Lumet,1
William Holden,Faye Dunaway,1
William Holden,Peter Finch,1
William Holden,Ned Beatty,1
William Holden,Beatrice Straight,1
Lewis Milestone,Adolphe Menjou,1
King Vidor,Wallace Beery,1
King Vidor,Robert Donat,1
Robert Donat,Greer Garson,1
Robert Donat,Sam Wood,1
Robert Donat,Peter O'Toole,1
Paul Muni,Joseph Schildkraut,1
Paul Muni,William Dieterle,1
Lewis Stone,Ernst Lubitsch,1
Ernst Lubitsch,Warren Beatty,1
Ernst Lubitsch,Dyan Cannon,1
Ernst Lubitsch,Jack Warden,1
Ernst Lubitsch,Warren Beatty,1
Ruth Chatterton,Lionel Barrymore,1
Lionel Barrymore,Norma Shearer,1
Lionel Barrymore,Clarence Brown,1
Jeanne Eagels,Bette Davis,1
Jeanne Eagels,William Wyler,1
Bette Davis,Fay Bainter,1
Bette Davis,William Wyler,3
Bette Davis,James Stephenson,1
Bette Davis,Patricia Collinge,1
Bette Davis,Teresa Wright,1
Bette Davis,Gladys Cooper,1
Bette Davis,Claude Rains,1
Bette Davis,Anne Baxter,1
Bette Davis,Celeste Holm,1
Bette Davis,Joseph L. Mankiewicz,1
Bette Davis,George Sanders,1
Bette Davis,Thelma Ritter,1
Bette Davis,Victor Buono,1
William Wyler,Walter Huston,1
William Wyler,Maria Ouspenskaya,1
William Wyler,Laurence Olivier,1
William Wyler,Geraldine Fitzgerald,1
William Wyler,James Stephenson,1
William Wyler,Patricia Collinge,1
William Wyler,Teresa Wright,3
William Wyler,Dame May Whitty,1
William Wyler,Greer Garson,1
William Wyler,Walter Pidgeon,1
William Wyler,Henry Travers,1
William Wyler,Harold Russell,1
William Wyler,Olivia de Havilland,1
William Wyler,Ralph Richardson,1
William Wyler,Eleanor Parker,1
William Wyler,Lee Grant,1
William Wyler,Eddie Albert,1
William Wyler,Audrey Hepburn,1
William Wyler,Anthony Perkins,1
William Wyler,Charlton Heston,1
William Wyler,Hugh Griffith,1
William Wyler,Samantha Eggar,1
Corinne Griffith,Frank Lloyd,1
Frank Lloyd,Diana Wynyard,1
Frank Lloyd,Charles Laughton,1
Frank Lloyd,Clark Gable,1
Frank Lloyd,Franchot Tone,1
Norma Shearer,Robert Leonard,1
Norma Shearer,Clarence Brown,1
Norma Shearer,Basil Rathbone,1
Norma Shearer,Franco Zeffirelli,1
Norma Shearer,Robert Morley,1
Clarence Brown,Mickey Rooney,1
Clarence Brown,Anne Revere,1
Clarence Brown,Gregory Peck,1
Clarence Brown,Jane Wyman,1
Charles Laughton,Clark Gable,1
Charles Laughton,Franchot Tone,1
Charles Laughton,Elsa Lanchester,1
Clark Gable,Frank Capra,1
Clark Gable,Claudette Colbert,1
Clark Gable,Franchot Tone,1
Clark Gable,Vivien Leigh,1
Clark Gable,Olivia de Havilland,1
Clark Gable,Hattie McDaniel,1
Clark Gable,Victor Fleming,1
Warren Beatty,Maureen Stapleton,2
Warren Beatty,Arthur Penn,1
Warren Beatty,Gene Hackman,1
Warren Beatty,Michael J. Pollard,1
Warren Beatty,Faye Dunaway,1
Warren Beatty,Estelle Parsons,1
Warren Beatty,Dyan Cannon,1
Warren Beatty,Jack Warden,1
Warren Beatty,Warren Beatty,1
Warren Beatty,Jack Nicholson,2
Warren Beatty,Diane Keaton,2
Warren Beatty,Ben Kingsley,1
Warren Beatty,Barry Levinson,1
Warren Beatty,Harvey Keitel,1
Dyan Cannon,Elliott Gould,1
Dyan Cannon,Jack Warden,1
Dyan Cannon,Warren Beatty,1
Jack Warden,Lee Grant,1
Jack Warden,Warren Beatty,1
Ronald Colman,Susan Peters,1
Ronald Colman,Mervyn LeRoy,1
Ronald Colman,George Cukor,1
George Cukor,Katharine Hepburn,1
George Cukor,Winona Ryder,1
George Cukor,Saoirse Ronan,1
George Cukor,Florence Pugh,1
George Cukor,James Stewart,1
George Cukor,Ruth Hussey,1
George Cukor,Judy Holliday,1
George Cukor,Gladys Cooper,1
George Cukor,Rex Harrison,1
George Cukor,Stanley Holloway,1
Basil Rathbone,Franco Zeffirelli,1
Anne Revere,Gladys Cooper,1
Anne Revere,Charles Bickford,1
Anne Revere,Jennifer Jones,1
Anne Revere,Henry King,1
Anne Revere,Gregory Peck,1
Anne Revere,Dorothy McGuire,1
Anne Revere,Celeste Holm,1
Anne Revere,Elia Kazan,1
Gregory Peck,Jane Wyman,1
Gregory Peck,Dorothy McGuire,1
Gregory Peck,Celeste Holm,1
Gregory Peck,Elia Kazan,1
Gregory Peck,Dean Jagger,1
Gregory Peck,Mary Badham,1
Gregory Peck,Robert Mulligan,1
Jane Wyman,Agnes Moorehead,1
Jane Wyman,Charles Bickford,1
Jane Wyman,Lew Ayres,1
Jane Wyman,Jean Negulesco,1
Jane Wyman,Joan Blondell,1
Jackie Cooper,Norman Taurog,1
Norman Taurog,Spencer Tracy,1
Richard Dix,Irene Dunne,1
Irene Dunne,Wesley Ruggles,1
Irene Dunne,Ralph Bellamy,1
Irene Dunne,Leo McCarey,1
Irene Dunne,Maria Ouspenskaya,1
Irene Dunne,Oscar Homolka,1
Irene Dunne,Barbara Bel Geddes,1
Irene Dunne,Ellen Corby,1
Kevin McCarthy,Mildred Dunnock,1
Mildred Dunnock,Carroll Baker,1
Marlene Dietrich,Josef Von Sternberg,1
Ralph Bellamy,Leo McCarey,1
Leo McCarey,Bing Crosby,3
Leo McCarey,Barry Fitzgerald,2
Leo McCarey,Ingrid Bergman,1
Maria Ouspenskaya,Walter Huston,1
Spencer Tracy,Katharine Hepburn,1
Spencer Tracy,W. S. Van Dyke,1
Spencer Tracy,John Sturges,1
Spencer Tracy,Montgomery Clift,1
Spencer Tracy,Stanley Kramer,3
Spencer Tracy,Maximilian Schell,1
Spencer Tracy,Cecil Kellaway,1
Spencer Tracy,Beah Richards,1
Helen Hayes,Maureen Stapleton,1
Maureen Stapleton,Geraldine Page,1
Maureen Stapleton,Woody Allen,1
Maureen Stapleton,Jack Nicholson,1
Maureen Stapleton,Diane Keaton,1
Leslie Howard,Wendy Hiller,1
Wendy Hiller,Deborah Kerr,1
Wendy Hiller,David Niven,1
Wendy Hiller,Fred Zinnemann,1
Wendy Hiller,Paul Scofield,1
Wendy Hiller,Robert Shaw,1
Elsa Lanchester,Loretta Young,1
Elsa Lanchester,Celeste Holm,1
Katharine Hepburn,James Stewart,1
Katharine Hepburn,Ruth Hussey,1
Katharine Hepburn,Humphrey Bogart,1
Katharine Hepburn,John Huston,1
Katharine Hepburn,David Lean,1
Katharine Hepburn,Elizabeth Taylor,1
Katharine Hepburn,Cecil Kellaway,1
Katharine Hepburn,Stanley Kramer,1
Katharine Hepburn,Beah Richards,1
Katharine Hepburn,Peter O'Toole,1
Katharine Hepburn,Anthony Harvey,1
Katharine Hepburn,Henry Fonda,1
Katharine Hepburn,Jane Fonda,1
Katharine Hepburn,Mark Rydell,1
James Stewart,Frank Capra,3
James Stewart,Harry Carey,1
James Stewart,Claude Rains,1
James Stewart,Ruth Hussey,1
James Stewart,Josephine Hull,1
James Stewart,Arthur O'Connell,1
James Stewart,George C. Scott,1
Humphrey Bogart,Michael Curtiz,1
Humphrey Bogart,Claude Rains,1
Humphrey Bogart,John Huston,1
Humphrey Bogart,Tom Tully,1
John Huston,Walter Huston,1
John Huston,Otto Preminger,1
John Huston,José Ferrer,1
John Huston,Sam Jaffe,1
John Huston,Colette Marchand,1
John Huston,Nicole Kidman,1
John Huston,Jack Nicholson,1
John Huston,William Hickey,1
John Huston,Anjelica Huston,1
David Lean,Celia Johnson,1
David Lean,Alec Guinness,1
David Lean,Sessue Hayakawa,1
David Lean,Peter O'Toole,1
David Lean,Omar Sharif,1
David Lean,Tom Courtenay,1
David Lean,Judy Davis,1
David Lean,Peggy Ashcroft,1
Elizabeth Taylor,Richard Burton,1
Elizabeth Taylor,Paul Newman,1
Elizabeth Taylor,Richard Brooks,1
Elizabeth Taylor,George Segal,1
Elizabeth Taylor,Sandy Dennis,1
Elizabeth Taylor,Mike Nichols,1
Cecil Kellaway,Stanley Kramer,1
Cecil Kellaway,Beah Richards,1
Stanley Kramer,Montgomery Clift,1
Stanley Kramer,Tony Curtis,1
Stanley Kramer,Sidney Poitier,1
Stanley Kramer,Theodore Bikel,1
Stanley Kramer,Cara Williams,1
Stanley Kramer,Maximilian Schell,1
Stanley Kramer,Beah Richards,1
Peter O'Toole,Greer Garson,1
Peter O'Toole,Sam Wood,1
Peter O'Toole,Richard Burton,1
Peter O'Toole,Omar Sharif,1
Peter O'Toole,John Gielgud,1
Peter O'Toole,Peter Glenville,1
Peter O'Toole,Anthony Harvey,1
Peter O'Toole,Richard Rush,1
Henry Fonda,John Ford,1
Henry Fonda,Jane Darwell,1
Henry Fonda,Jane Fonda,1
Henry Fonda,Mark Rydell,1
Jane Fonda,Fred Zinnemann,1
Jane Fonda,Gig Young,1
Jane Fonda,Jack Lemmon,1
Jane Fonda,Maximilian Schell,1
Jane Fonda,Vanessa Redgrave,1
Jane Fonda,Jon Voight,1
Jane Fonda,Susannah York,1
Jane Fonda,Sydney Pollack,1
Jane Fonda,Jason Robards,1
Jane Fonda,Bruce Dern,1
Jane Fonda,Penelope Milford,1
Jane Fonda,Hal Ashby,1
Jane Fonda,Mark Rydell,1
May Robson,Frank Capra,1
Frank Capra,Claudette Colbert,1
Frank Capra,Gary Cooper,1
Frank Capra,Spring Byington,1
Frank Capra,Harry Carey,1
Frank Capra,Claude Rains,1
Claudette Colbert,Monty Woolley,1
Claudette Colbert,Jennifer Jones,1
Gary Cooper,Walter Brennan,1
Gary Cooper,Margaret Wycherly,1
Gary Cooper,Howard Hawks,1
Gary Cooper,Teresa Wright,1
Gary Cooper,Akim Tamiroff,1
Gary Cooper,Ingrid Bergman,1
Gary Cooper,Katina Paxinou,1
Gary Cooper,Fred Zinnemann,1
Harry Carey,Claude Rains,1
Claude Rains,Michael Curtiz,1
Winona Ryder,Saoirse Ronan,1
Winona Ryder,Florence Pugh,1
Saoirse Ronan,Laurie Metcalf,1
Saoirse Ronan,Greta Gerwig,1
Saoirse Ronan,Florence Pugh,1
Gladys Cooper,Charles Bickford,1
Gladys Cooper,Jennifer Jones,1
Gladys Cooper,Henry King,1
Gladys Cooper,Rex Harrison,1
Gladys Cooper,Stanley Holloway,1
Rex Harrison,Stanley Holloway,1
Vivien Leigh,Olivia de Havilland,1
Vivien Leigh,Hattie McDaniel,1
Vivien Leigh,Victor Fleming,1
Vivien Leigh,Elia Kazan,1
Vivien Leigh,Marlon Brando,1
Vivien Leigh,Karl Malden,1
Vivien Leigh,Kim Hunter,1
Olivia de Havilland,Hattie McDaniel,1
Olivia de Havilland,Victor Fleming,1
Olivia de Havilland,Anatole Litvak,1
Olivia de Havilland,Ralph Richardson,1
William Powell,W. S. Van Dyke,1
William Powell,Mischa Auer,1
William Powell,Carole Lombard,1
William Powell,Alice Brady,1
William Powell,Gregory La Cava,1
Mischa Auer,Alice Brady,1
Mischa Auer,Gregory La Cava,1
Carole Lombard,Alice Brady,1
Carole Lombard,Gregory La Cava,1
Alice Brady,Gregory La Cava,1
Gregory La Cava,Andrea Leeds,1
Monty Woolley,Jennifer Jones,1
Jennifer Jones,Charles Bickford,1
Jennifer Jones,Henry King,1
Jennifer Jones,Lillian Gish,1
Patricia Collinge,Teresa Wright,1
Teresa Wright,Dame May Whitty,1
Teresa Wright,Greer Garson,1
Teresa Wright,Walter Pidgeon,1
Teresa Wright,Henry Travers,1
Anne Baxter,Clifton Webb,1
Anne Baxter,Celeste Holm,1
Anne Baxter,Joseph L. Mankiewicz,1
Anne Baxter,George Sanders,1
Anne Baxter,Thelma Ritter,1
Celeste Holm,Dorothy McGuire,1
Celeste Holm,Loretta Young,1
Celeste Holm,Elia Kazan,1
Celeste Holm,Joseph L. Mankiewicz,1
Celeste Holm,George Sanders,1
Celeste Holm,Thelma Ritter,1
Joseph L. Mankiewicz,Laurence Olivier,1
Joseph L. Mankiewicz,George Sanders,1
Joseph L. Mankiewicz,Thelma Ritter,1
Joseph L. Mankiewicz,Michael Caine,1
George Sanders,Thelma Ritter,1
Thelma Ritter,Susan Hayward,1
Thelma Ritter,Doris Day,1
Thelma Ritter,Burt Lancaster,1
Thelma Ritter,Telly Savalas,1
Victor McLaglen,John Ford,3
John Ford,Thomas Mitchell,1
John Ford,Jane Darwell,1
John Ford,Donald Crisp,1
John Ford,Sara Allgood,1
Michael Curtiz,James Cagney,3
Michael Curtiz,John Garfield,1
Michael Curtiz,Walter Huston,1
James Cagney,Walter Huston,1
Thomas Mitchell,Denzel Washington,1
Walter Brennan,Margaret Wycherly,1
Walter Brennan,Howard Hawks,1
Akim Tamiroff,Ingrid Bergman,1
Akim Tamiroff,Katina Paxinou,1
