Label,Id,category
Abigail Breslin,Abigail Breslin,ACTRESS IN A SUPPORTING ROLE
Adam Driver,Adam Driver,ACTOR IN A SUPPORTING ROLE
Adam Driver,Adam Driver,ACTOR
Adam McKay,Adam McKay,DIRECTING
Adam McKay,Adam McKay,DIRECTING
Adolph Caesar,Adolph Caesar,ACTOR IN A SUPPORTING ROLE
Adolphe Menjou,Adolphe Menjou,ACTOR
Adrian Lyne,Adrian Lyne,DIRECTING
Adriana Barraza,Adriana Barraza,ACTRESS IN A SUPPORTING ROLE
Adrien Brody,Adrien Brody,ACTOR
Agnes Moorehead,Agnes Moorehead,ACTRESS IN A SUPPORTING ROLE
Agnes Moorehead,Agnes Moorehead,ACTRESS IN A SUPPORTING ROLE
Agnes Moorehead,Agnes Moorehead,ACTRESS IN A SUPPORTING ROLE
Agnes Moorehead,Agnes Moorehead,ACTRESS IN A SUPPORTING ROLE
Akim Tamiroff,Akim Tamiroff,ACTOR IN A SUPPORTING ROLE
Akim Tamiroff,Akim Tamiroff,ACTOR IN A SUPPORTING ROLE
Akira Kurosawa,Akira Kurosawa,DIRECTING
Al Pacino,Al Pacino,ACTOR
Al Pacino,Al Pacino,ACTOR IN A SUPPORTING ROLE
Al Pacino,Al Pacino,ACTOR
Al Pacino,Al Pacino,ACTOR IN A SUPPORTING ROLE
Al Pacino,Al Pacino,ACTOR IN A SUPPORTING ROLE
Al Pacino,Al Pacino,ACTOR
Al Pacino,Al Pacino,ACTOR IN A SUPPORTING ROLE
Al Pacino,Al Pacino,ACTOR
Al Pacino,Al Pacino,ACTOR
Alan Alda,Alan Alda,ACTOR IN A SUPPORTING ROLE
Alan Arkin,Alan Arkin,ACTOR
Alan Arkin,Alan Arkin,ACTOR IN A SUPPORTING ROLE
Alan Arkin,Alan Arkin,ACTOR
Alan Arkin,Alan Arkin,ACTOR IN A SUPPORTING ROLE
Alan Bates,Alan Bates,ACTOR
Alan J. Pakula,Alan J. Pakula,DIRECTING
Alan Parker,Alan Parker,DIRECTING
Alan Parker,Alan Parker,DIRECTING
Albert Basserman,Albert Basserman,ACTOR IN A SUPPORTING ROLE
Albert Brooks,Albert Brooks,ACTOR IN A SUPPORTING ROLE
Albert Finney,Albert Finney,ACTOR
Albert Finney,Albert Finney,ACTOR IN A SUPPORTING ROLE
Albert Finney,Albert Finney,ACTOR
Albert Finney,Albert Finney,ACTOR
Albert Finney,Albert Finney,ACTOR
Alec Baldwin,Alec Baldwin,ACTOR IN A SUPPORTING ROLE
Alec Guinness,Alec Guinness,ACTOR IN A SUPPORTING ROLE
Alec Guinness,Alec Guinness,ACTOR
Alec Guinness,Alec Guinness,ACTOR IN A SUPPORTING ROLE
Alec Guinness,Alec Guinness,ACTOR
Alejandro G. Iñárritu,Alejandro G. Iñárritu,DIRECTING
Alejandro G. Iñárritu,Alejandro G. Iñárritu,DIRECTING
Alejandro González Iñárritu,Alejandro González Iñárritu,DIRECTING
Alexander Hall,Alexander Hall,DIRECTING
Alexander Knox,Alexander Knox,ACTOR
Alexander Payne,Alexander Payne,DIRECTING
Alexander Payne,Alexander Payne,DIRECTING
Alexander Payne,Alexander Payne,DIRECTING
Alfonso Cuarón,Alfonso Cuarón,DIRECTING
Alfonso Cuarón,Alfonso Cuarón,DIRECTING
Alfre Woodard,Alfre Woodard,ACTRESS IN A SUPPORTING ROLE
Alfred Hitchcock,Alfred Hitchcock,DIRECTING
Alfred Hitchcock,Alfred Hitchcock,DIRECTING
Alfred Hitchcock,Alfred Hitchcock,DIRECTING
Alfred Hitchcock,Alfred Hitchcock,DIRECTING
Alfred Hitchcock,Alfred Hitchcock,DIRECTING
Alfred Lunt,Alfred Lunt,ACTOR
Ali MacGraw,Ali MacGraw,ACTRESS
Alice Brady,Alice Brady,ACTRESS IN A SUPPORTING ROLE
Alice Brady,Alice Brady,ACTRESS IN A SUPPORTING ROLE
Alicia Vikander,Alicia Vikander,ACTRESS IN A SUPPORTING ROLE
Aline MacMahon,Aline MacMahon,ACTRESS IN A SUPPORTING ROLE
Allison Janney,Allison Janney,ACTRESS IN A SUPPORTING ROLE
Amy Adams,Amy Adams,ACTRESS
Amy Adams,Amy Adams,ACTRESS IN A SUPPORTING ROLE
Amy Adams,Amy Adams,ACTRESS IN A SUPPORTING ROLE
Amy Adams,Amy Adams,ACTRESS IN A SUPPORTING ROLE
Amy Adams,Amy Adams,ACTRESS IN A SUPPORTING ROLE
Amy Adams,Amy Adams,ACTRESS IN A SUPPORTING ROLE
Amy Irving,Amy Irving,ACTRESS IN A SUPPORTING ROLE
Amy Madigan,Amy Madigan,ACTRESS IN A SUPPORTING ROLE
Amy Ryan,Amy Ryan,ACTRESS IN A SUPPORTING ROLE
Anatole Litvak,Anatole Litvak,DIRECTING
Andrea Leeds,Andrea Leeds,ACTRESS IN A SUPPORTING ROLE
Andrew Garfield,Andrew Garfield,ACTOR
Andy Garcia,Andy Garcia,ACTOR IN A SUPPORTING ROLE
Ang Lee,Ang Lee,DIRECTING
Ang Lee,Ang Lee,DIRECTING
Ang Lee,Ang Lee,DIRECTING
Angela Bassett,Angela Bassett,ACTRESS
Angela Lansbury,Angela Lansbury,ACTRESS IN A SUPPORTING ROLE
Angela Lansbury,Angela Lansbury,ACTRESS IN A SUPPORTING ROLE
Angela Lansbury,Angela Lansbury,ACTRESS IN A SUPPORTING ROLE
Angelina Jolie,Angelina Jolie,ACTRESS
