Label,Id,category
 20th Century-Fox Film Corporation in recognition of their imagination, 20th Century-Fox Film Corporation in recognition of their imagination,HONORARY AWARD
 Adolph Zukor, Adolph Zukor,SPECIAL AWARD
 Agnès Varda, Agnès Varda,HONORARY AWARD
 Akira Kurosawa for accomplishments that have inspired, Akira Kurosawa for accomplishments that have inspired,HONORARY AWARD
 Alec Guinness for advancing the art of screen acting through a host of memorable and distinguished performances., Alec Guinness for advancing the art of screen acting through a host of memorable and distinguished performances.,HONORARY AWARD
 Alejandro G. Iñárritu's CARNE y ARENA virtual reality installation, Alejandro G. Iñárritu's CARNE y ARENA virtual reality installation,SPECIAL AWARD
 Alex North, Alex North,HONORARY AWARD
 Andrzej Wajda in recognition of five decades of extraordinary film direction., Andrzej Wajda in recognition of five decades of extraordinary film direction.,HONORARY AWARD
 Angela Lansbury, Angela Lansbury,HONORARY AWARD
 Anne V. Coates, Anne V. Coates,HONORARY AWARD
 Arthur Freed for distinguished service to the Academy and the production of six top-rated Awards telecasts., Arthur Freed for distinguished service to the Academy and the production of six top-rated Awards telecasts.,HONORARY AWARD
 B.B. Kahane for distinguished service to the motion picture industry., B.B. Kahane for distinguished service to the motion picture industry.,HONORARY AWARD
 Barbara Stanwyck for superlative creativity and unique contribution to the art of screen acting., Barbara Stanwyck for superlative creativity and unique contribution to the art of screen acting.,HONORARY AWARD
 Bausch & Lomb Optical Company for their contributions to the advancement of the motion picture industry., Bausch & Lomb Optical Company for their contributions to the advancement of the motion picture industry.,HONORARY AWARD
 Bell and Howell Company for their pioneering and basic achievements in the advancement of the motion picture industry., Bell and Howell Company for their pioneering and basic achievements in the advancement of the motion picture industry.,HONORARY AWARD
 Benjamin Burtt, Benjamin Burtt,SPECIAL ACHIEVEMENT AWARD
 Bill and Coo, Bill and Coo,SPECIAL AWARD
 Blake Edwards in recognition of his writing, Blake Edwards in recognition of his writing,HONORARY AWARD
 Bob Hope, Bob Hope,SPECIAL AWARD
 Bob Hope for his contribution to the laughter of the world, Bob Hope for his contribution to the laughter of the world,HONORARY AWARD
 Bob Hope for his many services to the Academy., Bob Hope for his many services to the Academy.,SPECIAL AWARD
 Bob Hope for unique and distinguished service to our industry and the Academy., Bob Hope for unique and distinguished service to our industry and the Academy.,HONORARY AWARD
 Bobby Driscoll, Bobby Driscoll,SPECIAL AWARD
 Buster Keaton for his unique talents which brought immortal comedies to the screen., Buster Keaton for his unique talents which brought immortal comedies to the screen.,HONORARY AWARD
 Cary Grant for his unique mastery of the art of screen acting with the respect and affection of his colleagues., Cary Grant for his unique mastery of the art of screen acting with the respect and affection of his colleagues.,HONORARY AWARD
 Cecil B. DeMille, Cecil B. DeMille,SPECIAL AWARD
 Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry., Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry.,SPECIAL AWARD
 Charles Brackett for outstanding service to the Academy., Charles Brackett for outstanding service to the Academy.,HONORARY AWARD
 Charles Burnett, Charles Burnett,HONORARY AWARD
 Charles Chaplin, Charles Chaplin,SPECIAL AWARD
 Charles Chaplin for the incalculable effect he has had in making motion pictures the art form of this century., Charles Chaplin for the incalculable effect he has had in making motion pictures the art form of this century.,HONORARY AWARD
 Charles S. Boren, Charles S. Boren,HONORARY AWARD
 Chuck Jones, Chuck Jones,HONORARY AWARD
 Cicely Tyson, Cicely Tyson,HONORARY AWARD
 Claude Jarman, Claude Jarman,SPECIAL AWARD
 Colonel Nathan Levinson for his outstanding service to the industry and the Army during the past nine years, Colonel Nathan Levinson for his outstanding service to the industry and the Army during the past nine years,SPECIAL AWARD
 Colonel William N. Selig, Colonel William N. Selig,SPECIAL AWARD
 D.A. Pennebaker, D.A. Pennebaker,HONORARY AWARD
 Danny Kaye for his unique talents, Danny Kaye for his unique talents,HONORARY AWARD
 David Lynch, David Lynch,HONORARY AWARD
 David Wark Griffith, David Wark Griffith,SPECIAL AWARD
 Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth, Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth,SPECIAL AWARD
