Source,Target,Weight
Lewis Milestone,Frank Capra,4
Lewis Milestone,William Wyler,4
Lewis Milestone,Michael Curtiz,2
Lewis Milestone,Billy Wilder,4
Lewis Milestone,Mike Nichols,2
Lewis Milestone,Franklin J. Schaffner,2
Lewis Milestone,Bernardo Bertolucci,2
Lewis Milestone,James Cameron,2
Lewis Milestone,Roman Polanski,2
Lewis Milestone,Peter Jackson,2
Lewis Milestone,Michel Hazanavicius,2
Lewis Milestone,Emil Jannings,2
Lewis Milestone,Paul Muni,2
Lewis Milestone,Paul Lukas,2
Lewis Milestone,Ray Milland,2
Lewis Milestone,Jose Ferrer,2
Lewis Milestone,Yul Brynner,2
Lewis Milestone,Maximilian Schell,2
Lewis Milestone,Anthony Hopkins,2
Lewis Milestone,Geoffrey Rush,2
Lewis Milestone,Roberto Benigni,2
Lewis Milestone,Russell Crowe,2
Lewis Milestone,Jean Dujardin,2
Lewis Milestone,Joseph Schildkraut,2
Lewis Milestone,Harold Russell,2
Lewis Milestone,Walter Huston,2
Lewis Milestone,George Sanders,2
Lewis Milestone,John Houseman,2
Lewis Milestone,Haing S. Ngor,2
Lewis Milestone,Sean Connery,2
Lewis Milestone,Benicio Del Toro,2
Lewis Milestone,Javier Bardem,2
Lewis Milestone,Heath Ledger,2
Lewis Milestone,Christian Bale,2
Lewis Milestone,Christopher Plummer,2
Lewis Milestone,Mary Pickford,2
Lewis Milestone,Norma Shearer,2
Lewis Milestone,Marie Dressler,2
Lewis Milestone,Claudette Colbert,2
Lewis Milestone,Joan Fontaine,2
Lewis Milestone,Ingrid Bergman,4
Lewis Milestone,Audrey Hepburn,2
Lewis Milestone,Anna Magnani,2
Lewis Milestone,Simone Signoret,2
Lewis Milestone,Sophia Loren,2
Lewis Milestone,Julie Christie,2
Lewis Milestone,Charlize Theron,2
Lewis Milestone,Marion Cotillard,2
Lewis Milestone,Natalie Portman,2
Lewis Milestone,Katina Paxinou,2
Lewis Milestone,Miyoshi Umeki,2
Lewis Milestone,Rita Moreno,2
Lewis Milestone,Lila Kedrova,2
Lewis Milestone,Brenda Fricker,2
Lewis Milestone,Anna Paquin,2
Lewis Milestone,Juliette Binoche,2
Lewis Milestone,Catherine Zeta-Jones,2
Lewis Milestone,Penelope Cruz,2
Frank Capra,Frank Lloyd,4
Frank Capra,Michael Curtiz,3
Frank Capra,Elia Kazan,4
Frank Capra,Fred Zinnemann,4
Frank Capra,Mike Nichols,3
Frank Capra,Franklin J. Schaffner,3
Frank Capra,Milos Forman,4
Frank Capra,Bernardo Bertolucci,3
Frank Capra,James Cameron,3
Frank Capra,Roman Polanski,3
Frank Capra,Peter Jackson,3
Frank Capra,Ang Lee,4
Frank Capra,Michel Hazanavicius,3
Frank Capra,Emil Jannings,3
Frank Capra,Paul Muni,3
Frank Capra,Paul Lukas,3
Frank Capra,Ray Milland,3
Frank Capra,Jose Ferrer,3
Frank Capra,Yul Brynner,3
Frank Capra,Maximilian Schell,3
Frank Capra,Anthony Hopkins,3
Frank Capra,Geoffrey Rush,3
Frank Capra,Roberto Benigni,3
Frank Capra,Russell Crowe,3
Frank Capra,Jean Dujardin,3
Frank Capra,Joseph Schildkraut,3
Frank Capra,Harold Russell,3
Frank Capra,Walter Huston,3
Frank Capra,George Sanders,3
Frank Capra,Anthony Quinn,4
Frank Capra,John Houseman,3
Frank Capra,Haing S. Ngor,3
Frank Capra,Sean Connery,3
Frank Capra,Benicio Del Toro,3
Frank Capra,Javier Bardem,3
Frank Capra,Heath Ledger,3
Frank Capra,Christoph Waltz,4
Frank Capra,Christian Bale,3
Frank Capra,Christopher Plummer,3
Frank Capra,Mary Pickford,3
Frank Capra,Norma Shearer,3
Frank Capra,Marie Dressler,3
Frank Capra,Claudette Colbert,3
Frank Capra,Luise Rainer,4
Frank Capra,Vivien Leigh,4
Frank Capra,Joan Fontaine,3
Frank Capra,Olivia de Havilland,4
Frank Capra,Audrey Hepburn,3
Frank Capra,Anna Magnani,3
Frank Capra,Simone Signoret,3
Frank Capra,Sophia Loren,3
Frank Capra,Julie Christie,3
Frank Capra,Charlize Theron,3
Frank Capra,Marion Cotillard,3
Frank Capra,Natalie Portman,3
Frank Capra,Cate Blanchett,4
Frank Capra,Katina Paxinou,3
Frank Capra,Miyoshi Umeki,3
Frank Capra,Rita Moreno,3
Frank Capra,Lila Kedrova,3
Frank Capra,Brenda Fricker,3
Frank Capra,Anna Paquin,3
Frank Capra,Juliette Binoche,3
Frank Capra,Catherine Zeta-Jones,3
Frank Capra,Penelope Cruz,3
William Wyler,Frank Lloyd,4
William Wyler,Michael Curtiz,3
William Wyler,Elia Kazan,4
William Wyler,Fred Zinnemann,4
William Wyler,Mike Nichols,3
William Wyler,Franklin J. Schaffner,3
William Wyler,Milos Forman,4
William Wyler,Bernardo Bertolucci,3
William Wyler,James Cameron,3
William Wyler,Roman Polanski,3
William Wyler,Peter Jackson,3
William Wyler,Ang Lee,4
William Wyler,Michel Hazanavicius,3
William Wyler,Emil Jannings,3
William Wyler,Paul Muni,3
William Wyler,Paul Lukas,3
William Wyler,Ray Milland,3
William Wyler,Jose Ferrer,3
William Wyler,Yul Brynner,3
William Wyler,Maximilian Schell,3
William Wyler,Anthony Hopkins,3
William Wyler,Geoffrey Rush,3
William Wyler,Roberto Benigni,3
William Wyler,Russell Crowe,3
William Wyler,Jean Dujardin,3
William Wyler,Joseph Schildkraut,3
William Wyler,Harold Russell,3
William Wyler,Walter Huston,3
William Wyler,George Sanders,3
William Wyler,Anthony Quinn,4
William Wyler,John Houseman,3
William Wyler,Haing S. Ngor,3
William Wyler,Sean Connery,3
William Wyler,Benicio Del Toro,3
William Wyler,Javier Bardem,3
William Wyler,Heath Ledger,3
William Wyler,Christoph Waltz,4
William Wyler,Christian Bale,3
William Wyler,Christopher Plummer,3
William Wyler,Mary Pickford,3
William Wyler,Norma Shearer,3
William Wyler,Marie Dressler,3
William Wyler,Claudette Colbert,3
William Wyler,Luise Rainer,4
William Wyler,Vivien Leigh,4
William Wyler,Joan Fontaine,3
William Wyler,Olivia de Havilland,4
William Wyler,Audrey Hepburn,3
William Wyler,Anna Magnani,3
William Wyler,Simone Signoret,3
William Wyler,Sophia Loren,3
William Wyler,Julie Christie,3
William Wyler,Charlize Theron,3
William Wyler,Marion Cotillard,3
William Wyler,Natalie Portman,3
William Wyler,Cate Blanchett,4
William Wyler,Katina Paxinou,3
William Wyler,Miyoshi Umeki,3
William Wyler,Rita Moreno,3
William Wyler,Lila Kedrova,3
William Wyler,Brenda Fricker,3
William Wyler,Anna Paquin,3
William Wyler,Juliette Binoche,3
William Wyler,Catherine Zeta-Jones,3
William Wyler,Penelope Cruz,3
Michael Curtiz,Frank Lloyd,2
Michael Curtiz,Billy Wilder,3
Michael Curtiz,Elia Kazan,2
Michael Curtiz,Fred Zinnemann,2
Michael Curtiz,Milos Forman,2
Michael Curtiz,Ang Lee,2
Michael Curtiz,Anthony Quinn,2
Michael Curtiz,Christoph Waltz,2
Michael Curtiz,Luise Rainer,2
Michael Curtiz,Vivien Leigh,2
Michael Curtiz,Ingrid Bergman,3
Michael Curtiz,Olivia de Havilland,2
Michael Curtiz,Cate Blanchett,2
Billy Wilder,Frank Lloyd,4
Billy Wilder,Elia Kazan,4
Billy Wilder,Fred Zinnemann,4
Billy Wilder,Mike Nichols,3
Billy Wilder,Franklin J. Schaffner,3
Billy Wilder,Milos Forman,4
Billy Wilder,Bernardo Bertolucci,3
Billy Wilder,James Cameron,3
Billy Wilder,Roman Polanski,3
Billy Wilder,Peter Jackson,3
Billy Wilder,Ang Lee,4
Billy Wilder,Michel Hazanavicius,3
Billy Wilder,Emil Jannings,3
Billy Wilder,Paul Muni,3
Billy Wilder,Paul Lukas,3
Billy Wilder,Ray Milland,3
Billy Wilder,Jose Ferrer,3
Billy Wilder,Yul Brynner,3
Billy Wilder,Maximilian Schell,3
Billy Wilder,Anthony Hopkins,3
