Label,Id,race_ethnicity,sexual_orientation
Adrien Brody,Adrien Brody,White,Straight
Al Pacino,Al Pacino,White,Straight
Alan Arkin,Alan Arkin,White,Straight
Alec Guinness,Alec Guinness,White,Bisexual
Alice Brady,Alice Brady,White,Straight
Ang Lee,Ang Lee,Asian,Straight
Ang Lee,Ang Lee,Asian,Straight
Ang Lee,Ang Lee,Asian,Straight
Ang Lee,Ang Lee,Asian,Straight
Angelina Jolie,Angelina Jolie,White,Bisexual
Angelina Jolie,Angelina Jolie,White,Bisexual
Angelina Jolie,Angelina Jolie,White,Bisexual
Angelina Jolie,Angelina Jolie,White,Bisexual
Anjelica Huston,Anjelica Huston,White,Straight
Anna Magnani,Anna Magnani,White,Straight
Anna Paquin,Anna Paquin,White,Bisexual
Anne Bancroft,Anne Bancroft,White,Straight
Anne Baxter,Anne Baxter,White,Straight
Anne Hathaway,Anne Hathaway,White,Straight
Anne Revere,Anne Revere,White,Straight
Anne Revere,Anne Revere,White,Straight
Anne Revere,Anne Revere,White,Straight
Anne Revere,Anne Revere,White,Straight
Anthony Hopkins,Anthony Hopkins,White,Straight
Anthony Minghella,Anthony Minghella,White,Straight
Anthony Quinn,Anthony Quinn,Hispanic,Straight
Anthony Quinn,Anthony Quinn,Hispanic,Straight
Anthony Quinn,Anthony Quinn,Hispanic,Straight
Anthony Quinn,Anthony Quinn,Hispanic,Straight
Art Carney,Art Carney,White,Straight
Audrey Hepburn,Audrey Hepburn,White,Straight
Barbra Streisand,Barbra Streisand,White,Straight
Barry Levinson,Barry Levinson,White,Straight
Beatrice Straight,Beatrice Straight,White,Straight
Ben Johnson,Ben Johnson,White,Straight
Ben Kingsley,Ben Kingsley,Multiracial,Straight
Benicio Del Toro,Benicio Del Toro,Hispanic,Straight
Bernardo Bertolucci,Bernardo Bertolucci,White,Straight
Bette Davis,Bette Davis,White,Straight
Bette Davis,Bette Davis,White,Straight
Bette Davis,Bette Davis,White,Straight
Bette Davis,Bette Davis,White,Straight
Billy Wilder,Billy Wilder,White,Straight
Billy Wilder,Billy Wilder,White,Straight
Billy Wilder,Billy Wilder,White,Straight
Billy Wilder,Billy Wilder,White,Straight
Billy Wilder,Billy Wilder,White,Straight
Billy Wilder,Billy Wilder,White,Straight
Billy Wilder,Billy Wilder,White,Straight
Billy Wilder,Billy Wilder,White,Straight
Billy Wilder,Billy Wilder,White,Straight
Bing Crosby,Bing Crosby,White,Straight
Bob Fosse,Bob Fosse,White,Straight
Brenda Fricker,Brenda Fricker,White,Straight
Broderick Crawford,Broderick Crawford,White,Straight
Burl Ives,Burl Ives,White,Straight
Burt Lancaster,Burt Lancaster,White,Straight
Carol Reed,Carol Reed,White,Straight
Cate Blanchett,Cate Blanchett,White,Straight
Cate Blanchett,Cate Blanchett,White,Straight
Cate Blanchett,Cate Blanchett,White,Straight
Cate Blanchett,Cate Blanchett,White,Straight
Catherine Zeta-Jones,Catherine Zeta-Jones,White,Straight
Celeste Holm,Celeste Holm,White,Straight
Charles Coburn,Charles Coburn,White,Straight
Charles Laughton,Charles Laughton,White,Gay/Lesbian
Charlize Theron,Charlize Theron,White,Straight
Charlton Heston,Charlton Heston,White,Straight
Cher,Cher,White,Bisexual
Chris Cooper,Chris Cooper,White,Straight
Christian Bale,Christian Bale,White,Straight
Christoph Waltz,Christoph Waltz,White,Straight
Christoph Waltz,Christoph Waltz,White,Straight
Christoph Waltz,Christoph Waltz,White,Straight
Christoph Waltz,Christoph Waltz,White,Straight
Christopher Plummer,Christopher Plummer,White,Straight
Christopher Walken,Christopher Walken,White,Straight
Claire Trevor,Claire Trevor,White,Straight
Clark Gable,Clark Gable,White,Straight
Claudette Colbert,Claudette Colbert,White,Straight
Cliff Robertson,Cliff Robertson,White,Straight
Clint Eastwood,Clint Eastwood,White,Straight
Clint Eastwood,Clint Eastwood,White,Straight
Clint Eastwood,Clint Eastwood,White,Straight
Clint Eastwood,Clint Eastwood,White,Straight
Cloris Leachman,Cloris Leachman,White,Straight
Colin Firth,Colin Firth,White,Straight
"Cuba Gooding, Jr.","Cuba Gooding, Jr.",Black,Straight
